id	ts	dur	category	name	track_id	track_name	thread_name	utid	tid	process_name	upid	pid	depth	parent_id	arg_set_id
27452	339193276661000	6000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$7.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27459	339193276679000	12000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27468	339193276745000	7000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$8.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27475	339193276765000	11000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27484	339193276820000	7000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$9.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27491	339193276837000	10000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27500	339193276889000	6000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$10.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27507	339193276906000	11000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27516	339193276958000	7000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$11.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27523	339193276975000	10000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27532	339193277026000	6000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$12.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27539	339193277042000	11000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27548	339193277093000	7000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$13.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27555	339193277111000	11000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27564	339193277163000	6000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$14.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
